FSA,City
V3E,Port Coquitlam North
V3G,Abbotsford East
V3H,Port Moody
V3J,Coquitlam North
V3K,Coquitlam South
V3L,New Westminster Northeast
V3M,New Westminster Southwest
V3N,Burnaby
V3R,Surrey North
V3S,Surrey East
V3T,Surrey Inner Northwest
V3V,Surrey Outer Northwest
V3W,Surrey Upper West
V3X,Surrey Lower West
V3Y,Pitt Meadows
V4A,Surrey Southwest
V4B,White Rock
V4C,Delta Northeast
V4E,Delta East
V4G,Delta East Central
V4K,Delta Central
V4L,Delta Southeast
V4M,Delta Southwest
V4N,Surrey Northeast
V4P,Surrey South
V4R,Maple Ridge Northwest
V4S,Mission West
V4T,Westbank
V4V,Winfield
V4W,Langley Township East
V4X,Abbotsford West
V4Z,Chilliwack East
V5A,Burnaby
V5B,Burnaby
V5C,Burnaby
V5E,Burnaby
V5G,Burnaby
V5H,Burnaby
V5J,Burnaby
V5K,Vancouver
V5L,Vancouver
V5M,Vancouver
V5N,Vancouver
V5P,Vancouver
V5R,Vancouver
V5S,Vancouver
V5T,Vancouver
V5V,Vancouver
V5W,Vancouver
V5X,Vancouver
V5Y,Vancouver
V5Z,Vancouver
V6A,Vancouver
V6B,Vancouver
V6C,Vancouver
V6E,Vancouver
V6G,Vancouver
V6H,Vancouver
V6J,Vancouver
V6K,Vancouver
V6L,Vancouver
V6M,Vancouver
V6N,Vancouver
V6P,Vancouver
V6R,Vancouver
V6S,Vancouver
V6T,Vancouver
V6V,Richmond Northeast
V6W,Richmond Southeast
V6X,Richmond North
V6Y,Richmond Central
V6Z,Vancouver
V7A,Richmond South
V7B,Richmond
V7C,Richmond West
V7E,Richmond Southwest
V7G,North Vancouver Outer East
V7H,North Vancouver Inner East
V7J,North Vancouver East Central
V7K,North Vancouver North Central
V7L,North Vancouver South Central
V7M,North Vancouver Southwest Central
V7N,North Vancouver Northwest Central
V7P,North Vancouver Southwest
V7R,North Vancouver Northwest
V7S,West Vancouver North
V7T,West Vancouver Southeast
V7V,West Vancouver South
V7W,West Vancouver West
V7X,Vancouver
V7Y,Vancouver
V8A,Powell River
V8C,Kitimat
V8G,Terrace
V8J,Prince Rupert
V8K,Saltspring Island
V8L,Sidney
V8M,Central Saanich
V8N,Saanich East
V8P,Saanich Southeast
V8R,Oak Bay North
V8S,Oak Bay South
V8T,Victoria North
V8V,Victoria South
V8W,Victoria Central British Columbia Provincial Government
V8X,Saanich South
V8Y,Saanich North
V8Z,Saanich Central
V9A,Esquimalt
V9B,Highlands
V9C,Metchosin
V9E,Saanich West
V9G,Ladysmith
V9H,Campbell River Outskirts
V9J,Courtenay Northern Outskirts
V9K,Qualicum Beach
V9L,Duncan
V9M,Comox
V9N,Courtenay Central
V9P,Parksville
V9R,Nanaimo South
V9S,Nanaimo Central
V9T,Nanaimo North
V9V,Nanaimo Northwest
V9W,Campbell River Central
V9X,Cedar
V9Y,Port Alberni
R0A,Southeastern Manitoba
R0B,Northern Manitoba
R0C,North Interlake
R0E,Eastern Manitoba
R0G,South Central Manitoba
R0H,South Interlake
R0J,Riding Mountain
R0K,Brandon Region
R0L,Western Manitoba
R0M,Southwestern Manitoba
R1A,Selkirk
R1B,Lockport
R1N,Portage la Prairie
R2C,Winnipeg
R2E,East St. Paul
R2G,Winnipeg
R2H,Winnipeg
R2J,Winnipeg
R2K,Winnipeg
R2L,Winnipeg
R2M,Winnipeg
R2N,Winnipeg
R2P,Winnipeg
R2R,Winnipeg
R2V,Winnipeg
R2W,Winnipeg
R2X,Winnipeg
R2Y,Winnipeg
R3A,Winnipeg
R3B,Winnipeg
R3C,Winnipeg
R3E,Winnipeg
R3G,Winnipeg
R3H,Winnipeg
R3J,Winnipeg
R3K,Winnipeg
R3L,Winnipeg
R3M,Winnipeg
R3N,Winnipeg
R3P,Winnipeg
R3R,Winnipeg
R3S,Winnipeg
R3T,Winnipeg
R3V,Winnipeg
R3W,Winnipeg
R3X,Winnipeg
R3Y,Winnipeg
R4A,West St. Paul
R4H,Headingley East
R4J,Headingley West
R4K,Cartier
R4L,St. Francois Xavier
R5A,St. Adolphe
R5G,Steinbach
R5H,Ste. Anne
R6M,Morden
R6W,Winkler
R7A,Brandon Southeast
R7B,Brandon Southwest
R7C,Brandon North
R7N,Dauphin
R8A,Flin Flon
R8N,Thompson
R9A,The Pas
E1A,Dieppe Moncton East
E1B,Riverview
E1C,Moncton Central
E1E,Moncton West
E1G,Moncton Northwest
E1H,Lakeville, Shediac Bridge
E1J,Coverdale
E1N,Miramichi South
E1V,Miramichi North
E1W,Caraquet
E1X,Tracadie-Sheila
E2A,Bathurst
E2E,Rothesay, Quispamsis
E2G,Quispamsis
E2H,Saint John Northeast, Renforth
E2J,Saint John East
E2K,Saint John North
E2L,Saint John Central
E2M,Saint John West
E2N,Saint John Lakewood
E2P,Saint John Red Head
E2R,Saint John Grandview
E2S,Saint John Loch Lomond
E2V,Oromocto
E3A,Fredericton North
E3B,Fredericton South New Brunswick Provincial Government
E3C,Fredericton Southwest, New Maryland
E3E,Kingsclear
E3L,St. Stephen
E3N,Campbellton
E3V,Edmundston
E3Y,Grand Falls Northeast
E3Z,Grand Falls Central
E4A,Bathurst
E4B,Minto
E4C,Youngs Cove
E4E,Sussex
E4G,Smiths Creek
E4H,Hillsborough
E4J,Salisbury
E4K,Dorchester
E4L,Sackville
E4M,Bayfield
E4N,Cap-Pelé
E4P,Shediac
E4R,Cocagne
E4S,Bouctouche
E4T,Bass River
E4V,Saint-Antoine
E4W,Richibucto
E4X,St-Louis-de-Kent
E4Y,Rogersville
E4Z,Petitcodiac
E5A,Moores Mills
E5B,St. Andrews
E5C,St. George
E5E,Campobello Island
E5G,Grand Manan Island
E5H,Pennfield
E5J,Lepreau
E5K,Grand Bay-Westfield
E5L,Fredericton Junction
E5M,Gagetown
E5N,Hampton
E5P,Apohaqui
E5R,St. Martins
E5S,Kingston
E5T,Norton
E5V,Deer Island
E6A,Boiestown
E6B,Stanley
E6C,Durham Bridge
E6E,Millville
E6G,Nackawic
E6H,Canterbury
E6J,McAdam
E6K,Harvey
E6L,Burtts Corner
E7A,Baker Brook
E7B,Saint-Jacques
E7C,Saint-Basile
E7E,Saint-Leonard
E7G,Plaster Rock
E7H,Perth-Andover
E7J,Bath
E7K,Centreville
E7L,Florenceville
E7M,Woodstock
E7N,Debec
E7P,Hartland
E8A,Saint-Quentin
E8B,Kedgwick
E8C,Dalhousie
E8E,Balmoral
E8G,Belledune
E8J,Petit-Rocher
E8K,Beresford
E8L,Allardville
E8M,Saint-Isidore
E8N,Grande-Anse
E8P,Inkerman
E8R,Paquetville
E8S,Shippagan
E8T,Lamèque
E9A,Baie-Sainte-Anne
E9B,Blackville
E9C,Doaktown
E9E,Red Bank
E9G,Neguac
E9H,Brantville
A0A,Southeastern Avalon Peninsula
A0B,Western Avalon Peninsula
A0C,Bonavista Peninsula
A0E,Burin Peninsula
A0G,Northeast Newfoundland
A0H,Central Newfoundland
A0J,Northern Newfoundland
A0K,Northwest Newfoundland/Eastern Labrador
A0L,Western Newfoundland
A0M,Southwestern Newfoundland
A0N,Port au Port Peninsula region
A0P,Central Labrador
A0R,North/Western Labrador
A1A,St. John's North
A1B,St. John's Northwest Newfoundland & Labrador Provincial Government
A1C,St. John's North Central
A1E,St. John's Central
A1G,St. John's South
A1H,St. John's Southwest
A1K,Torbay
A1L,Paradise
A1M,Portugal Cove-St. Philips
A1N,Mount Pearl
A1S,Goulds
A1V,Gander
A1W,Manuels
A1X,Conception Bay
A1Y,Carbonear
A2A,Grand Falls
A2B,Windsor
A2H,Corner Brook
A2N,Stephenville
A2V,Labrador City
A5A,Clarenville
A8A,Deer Lake
B0C,North Victoria County
B0E,West Cape Breton Island
B0H,Canso region
B0J,Mainland east shore
B0K,Southern Northumberland Strait
B0L,Isthmus of Chignecto
B0M,Cobequid Bay north shore
B0N,Hants County
B0P,Kings County
B0R,West Lunenburg County
B0S,West Annapolis County
B0T,Queens County
B0V,Digby Neck
B0W,Southwest Mainland
B1A,Glace Bay
B1B,Port Morien
B1C,Louisbourg
B1E,Reserve Mines
B1G,Dominion
B1H,New Waterford
B1J,East Bay
B1K,Marion Bridge
B1L,Sydney Southwest
B1M,Sydney East
B1N,Sydney North
B1P,Sydney North Central
B1R,Sydney West
B1S,Sydney Central
B1T,Christmas Island
B1V,North Sydney North
B1W,Eskasoni
B1X,Big Bras d'Or
B1Y,Alder Point
B2A,North Sydney South Central
B2C,Iona
B2E,Loch Lomond
B2G,Antigonish
B2H,New Glasgow
B2J,Fourchu
B2N,Truro
B2R,Waverley
B2S,Lantz
B2T,Enfield
B2V,Dartmouth Morris Lake
B2W,Dartmouth East Central
B2X,Dartmouth North Central
B2Y,Dartmouth South Central
B2Z,Dartmouth East
B3A,Dartmouth Southwest
B3B,Dartmouth Northwest
B3E,Porters Lake
B3G,Eastern Passage
B3H,Halifax Lower Harbour
B3J,Halifax Mid-Harbour Nova Scotia Provincial Government
B3K,Halifax Upper Harbour
B3L,Halifax Central
B3M,Halifax Bedford Basin
B3N,Halifax South Central
B3P,Halifax North West Arm
B3R,Halifax South
B3S,Halifax West
B3T,Lakeside
B3V,Harrietsfield
B3Z,Tantallon
B4A,Bedford Southeast
B4B,Bedford Northwest
B4C,Lower Sackville South
B4E,Lower Sackville West
B4G,Lower Sackville North
B4H,Amherst
B4N,Kentville
B4P,Wolfville
B4R,Coldbrook
B4V,Bridgewater
B5A,Yarmouth
B9A,Port Hawkesbury
K0A,National Capital Region
K0B,Prescott and Russell United Counties
K0C,Stormont, Dundas and Glengarry United Counties
K0E,South Leeds and Grenville United Counties
K0G,Rideau Lakes area
K0H,Frontenac County, Addington County, Loyalist Shores and Southwest Leeds
K0J,Renfrew County and Lanark Highlands Township
K0K,Quinte Shores, East Northumberland County & Prince Edward County
K0L,Peterborough County and North Hastings County
K0M,Kawartha lakes and Haliburton County
K1A,Government of Canada Ottawa and Gatineau offices
K1B,Gloucester
K1C,Gloucester
K1E,Orleans
K1G,Ottawa
K1H,Ottawa
K1J,Gloucester
K1K,Ottawa
K1L,Ottawa
K1M,Ottawa
K1N,Ottawa
K1P,Ottawa
K1R,Ottawa
K1S,Ottawa
K1T,Gloucester
K1V,Ottawa
K1W,Gloucester
K1X,Gloucester South
K1Y,Ottawa West
K1Z,Ottawa
K2A,Ottawa
K2B,Ottawa
K2C,Ottawa
K2E,Nepean East
K2G,Nepean
K2H,Nepean
K2J,Nepean
K2K,Kanata
K2L,Kanata
K2M,Kanata
K2P,Ottawa
K2R,Nepean
K2S,Stittsville
K2T,Kanata
K2V,Kanata
K2W,Kanata
K4A,Orleans
K4B,Cumberland Township
K4C,Cumberland
K4K,Rockland
K4M,Manotick
K4P,Greely
K4R,Russell
K6A,Hawkesbury
K6H,Cornwall East
K6J,Cornwall West
K6K,Cornwall North
K6T,Elizabethtown
K6V,Brockville
K7A,Smiths Falls
K7C,Carleton Place
K7G,Gananoque
K7H,Perth
K7K,Kingston
K7L,Kingston
K7M,Kingston
K7N,Amherstview
K7P,Kingston
K7R,Napanee
K7S,Arnprior
K7V,Renfrew
K8A,Pembroke Central and northern subdivisions
K8B,Pembroke
K8H,Petawawa
K8N,Belleville East
K8P,Belleville West
K8R,Belleville
K8V,Trenton
K9A,Cobourg
K9H,Peterborough North
K9J,Peterborough South
K9K,Peterborough
K9L,Peterborough
K9V,Lindsay
L0A,West Northumberland County
L0B,East Durham Regional Municipality
L0C,West Durham Regional Municipality
L0E,Lake Simcoe Southeast Shore
L0G,Ontario Centre
L0H,Whitby Region
L0J,North Peel Regional Municipality
L0K,Lake Simcoe North Shore
L0L,Lake Simcoe West Shore
L0M,Georgian Bay South Shore
L0N,Dufferin County
L0P,Halton Regional Municipality
L0R,East Haldimand County
L0S,Niagara Regional Municipality
L1A,Port Hope
L1B,Bowmanville East
L1C,Bowmanville West
L1E,Courtice
L1G,Oshawa Central
L1H,Oshawa Southeast
L1J,Oshawa Southwest
L1K,Oshawa East
L1L,Oshawa North
L1M,Whitby North
L1N,Whitby Southeast
L1P,Whitby Southwest
L1R,Whitby Central
L1S,Ajax Southwest
L1T,Ajax Northwest
L1V,Pickering Southwest
L1W,Pickering South
L1X,Pickering Central
L1Y,Pickering North
L1Z,Ajax East
L2A,Fort Erie
L2E,Niagara Falls Central
L2G,Niagara Falls Southeast
L2H,Niagara Falls West
L2J,Niagara Falls North
L2M,St. Catharines Northeast
L2N,St. Catharines Northwest
L2P,St. Catharines East
L2R,St. Catharines Central
L2S,St. Catharines Southwest
L2T,St. Catharines South
L2V,St. Catharines Southeast
L2W,St. Catharines West
L3B,Welland East
L3C,Welland West
L3K,Port Colborne
L3M,Grimsby
L3P,Markham Central
L3R,Markham Outer Southwest
L3S,Markham Southeast
L3T,Thornhill East
L3V,Orillia
L3X,Newmarket Southwest
L3Y,Newmarket Northeast
L3Z,Bradford
L4A,Stouffville
L4B,Richmond Hill Southeast
L4C,Richmond Hill Southwest
L4E,Richmond Hill North
L4G,Aurora
L4H,Woodbridge North
L4J,Thornhill West
L4K,Concord
L4L,Woodbridge South
L4M,Barrie North
L4N,Barrie South
L4P,Keswick
L4R,Midland
L4S,Richmond Hill Central
L4T,Mississauga
L4V,Mississauga
L4W,Mississauga
L4X,Mississauga
L4Y,Mississauga
L4Z,Mississauga
L5A,Mississauga
L5B,Mississauga
L5C,Mississauga
L5E,Mississauga
L5G,Mississauga
L5H,Mississauga
L5J,Mississauga
L5K,Mississauga
L5L,Mississauga
L5M,Mississauga
L5N,Mississauga
L5P,Mississauga
L5R,Mississauga
L5S,Mississauga
L5T,Mississauga
L5V,Mississauga
L5W,Mississauga
L6A,Maple
L6B,Markham East
L6C,Markham Northwest
L6E,Markham Northeast
L6G,Markham Inner Southwest
L6H,Oakville North
L6J,Oakville Northeast
L6K,Oakville East
L6L,Oakville South
L6M,Oakville West
L6P,Brampton North
L6R,Brampton Northwest
L6S,Brampton North Central
L6T,Brampton East
L6V,Brampton Central
L6W,Brampton Southeast
L6X,Brampton Southwest
L6Y,Brampton South
L6Z,Brampton West Central
L7A,Brampton West
L7B,King City
L7C,Caledon
L7E,Bolton
L7G,Georgetown
L7J,Acton
L7L,Burlington Northeast
L7M,Burlington North
L7N,Burlington East
L7P,Burlington West
L7R,Burlington Southeast
L7S,Burlington South
L7T,Burlington Southwest
L8E,Hamilton
L8G,Hamilton
L8H,Hamilton
L8J,Hamilton
L8K,Hamilton
L8L,Hamilton
L8M,Hamilton
L8N,Hamilton
L8P,Hamilton
L8R,Hamilton
L8S,Hamilton
L8T,Hamilton
L8V,Hamilton
L8W,Hamilton
L9A,Hamilton
L9B,Hamilton
L9C,Hamilton
L9G,Ancaster West
L9H,Dundas
L9K,Ancaster East
L9L,Port Perry
L9M,Penetanguishene
L9N,Holland Landing
L9P,Uxbridge
L9R,Alliston
L9S,Innisfil
L9T,Milton
L9V,Orangeville North
L9W,Orangeville South
L9Y,Collingwood
L9Z,Wasaga Beach
M1B,Scarborough
M1C,Scarborough
M1E,Scarborough
M1G,Scarborough
M1H,Scarborough
M1J,Scarborough
M1K,Scarborough
M1L,Scarborough
M1M,Scarborough
M1N,Scarborough
M1P,Scarborough
M1R,Scarborough
M1S,Scarborough
M1T,Scarborough
M1V,Scarborough
M1W,Scarborough
M1X,Scarborough
M2H,North York
M2J,North York
M2K,North York
M2L,North York
M2M,Willowdale East
M2N,Willowdale South
M2P,North York
M2R,Willowdale West
M3A,North York
M3B,Don Mills North
M3C,Don Mills South
M3H,North York
M3J,North York
M3K,Downsview East
M3L,Downsview West
M3M,Downsview Central
M3N,North York
M4A,North York
M4B,East York
M4C,East York
M4E,East Toronto
M4G,East York
M4H,East York
M4J,East Toronto
M4K,East Toronto
M4L,East Toronto
M4M,East Toronto
M4N,Central Toronto
M4P,Central Toronto
M4R,Central Toronto
M4S,Central Toronto
M4T,Central Toronto
M4V,Central Toronto
M4W,Downtown Toronto
M4X,Downtown Toronto
M4Y,Downtown Toronto
M5A,Downtown Toronto
M5B,Downtown Toronto
M5C,Downtown Toronto
M5E,Downtown Toronto
M5G,Downtown Toronto
M5H,Downtown Toronto
M5J,Downtown Toronto
M5K,Downtown Toronto
M5L,Downtown Toronto
M5M,North York
M5N,Central Toronto
M5P,Central Toronto
M5R,Central Toronto
M5S,Downtown Toronto
M5T,Downtown Toronto
M5V,Downtown Toronto
M5W,Downtown Toronto Stn A PO Boxes 25 The Esplanade
M5X,Downtown Toronto
M6A,North York
M6B,North York
M6C,York
M6E,York
M6G,Downtown Toronto
M6H,West Toronto
M6J,West Toronto
M6K,West Toronto
M6L,North York
M6M,York
M6N,York
M6P,West Toronto
M6R,West Toronto
M6S,West Toronto
M7A,Queen's Park Ontario Provincial Government
M7Y,East Toronto Business Reply Mail Processing Centre 969 Eastern
M8V,Etobicoke
M8W,Etobicoke
M8X,Etobicoke
M8Y,Etobicoke
M8Z,Etobicoke
M9A,Etobicoke
M9B,Etobicoke
M9C,Etobicoke
M9L,North York
M9M,North York
M9N,Weston
M9P,Etobicoke
M9R,Etobicoke
M9V,Etobicoke
M9W,Etobicoke Northwest
N0A,West Haldimand
N0B,Wellington
N0C,Georgian Bay Southwest Shore
N0E,Brant and Norfolk
N0G,Huron
N0H,Bruce Peninsula
N0J,Oxford
N0K,Perth
N0L,Elgin
N0M,Middlesex
N0N,Lambton
N0P,Kent
N0R,Essex
N1A,Dunnville
N1C,Guelph South
N1E,Guelph North
N1G,Guelph Central
N1H,Guelph Northwest
N1K,Guelph West
N1L,Guelph East
N1M,Fergus
N1P,Cambridge South
N1R,Cambridge Central
N1S,Cambridge Southwest
N1T,Cambridge East
N2A,Kitchener East
N2B,Kitchener Northeast
N2C,Kitchener South Central
N2E,Kitchener Southwest
N2G,Kitchener Central
N2H,Kitchener North Central
N2J,Waterloo Southeast
N2K,Kitchener North
N2L,Waterloo South
N2M,Kitchener Northwest
N2N,Kitchener West
N2P,Kitchener Southeast
N2R,Kitchener South
N2T,Waterloo Southwest
N2V,Waterloo Northwest
N2Z,Kincardine
N3A,Baden
N3B,Elmira
N3C,Cambridge Northeast
N3E,Cambridge Northwest
N3H,Cambridge West
N3L,Paris
N3P,Brantford Northeast
N3R,Brantford Central
N3S,Brantford Southeast
N3T,Brantford Southwest
N3V,Brantford Northwest
N3W,Caledonia
N3Y,Simcoe
N4B,Delhi
N4G,Tillsonburg
N4K,Owen Sound
N4L,Meaford
N4N,Hanover
N4S,Woodstock Central
N4T,Woodstock North
N4V,Woodstock South
N4W,Listowel
N4X,St. Mary's
N4Z,Stratford South
N5A,Stratford North
N5C,Ingersoll
N5H,Aylmer
N5L,Port Stanley
N5P,St. Thomas North
N5R,St. Thomas South
N5V,London
N5W,London East
N5X,London
N5Y,London
N5Z,London
N6A,London North
N6B,London Central
N6C,London South
N6E,London
N6G,London
N6H,London West
N6J,London Southcrest / East Westmount / West Highland]
N6K,London Riverbend / Woodhull / North Sharon Creek / Byron / West Westmount]
N6L,London
N6M,London
N6N,London
N6P,London
N7A,Goderich
N7G,Strathroy
N7L,Chatham Northwest
N7M,Chatham Southeast
N7S,Sarnia Central
N7T,Sarnia Southwest
N7V,Sarnia Northwest
N7W,Sarnia Southeast
N7X,Sarnia Northeast
N8A,Wallaceburg
N8H,Leamington
N8M,Essex
N8N,Tecumseh Outskirts
N8P,Windsor
N8R,Windsor
N8S,Windsor
N8T,Windsor
N8V,Tecumseh
N8W,Windsor
N8X,Windsor South Central
N8Y,Windsor East
N9A,Windsor
N9B,Windsor
N9C,Windsor
N9E,Windsor South
N9G,Windsor
N9H,La Salle East
N9J,La Salle West
N9K,Tecumseh Central
N9V,Amherstburg
N9Y,Kingsville
P0A,Nipissing Central
P0B,Nipissing South
P0C,Parry Sound Mid-Shore
P0E,Parry Sound South Shore
P0G,Parry Sound North Shore
P0H,Nipissing North
P0J,Timiskaming South
P0K,Timiskaming North
P0L,Cochrane Region
P0M,Algoma, Sudbury District and Greater Sudbury
P0N,Timmins Region
P0P,Manitoulin
P0R,Algoma Southwest
P0S,Lake Superior East Shore
P0T,Lake Superior North Shore
P0V,Northwestern Ontario
P0W,Rainy River Region
P0X,Kenora Region
P0Y,Lake of the Woods East Shore
P1A,North Bay South
P1B,North Bay Central
P1C,North Bay North
P1H,Huntsville
P1L,Bracebridge
P1P,Gravenhurst
P2A,Parry Sound
P2B,Sturgeon Falls
P2N,Kirkland Lake
P3A,Greater Sudbury
P3B,Greater Sudbury
P3C,Greater Sudbury
P3E,Greater Sudbury
P3G,Greater Sudbury
P3L,Greater Sudbury
P3N,Greater Sudbury
P3P,Greater Sudbury
P3Y,Greater Sudbury
P4N,Timmins Southeast
P4P,Timmins North
P4R,Timmins West
P5A,Elliot Lake
P5E,Espanola
P5N,Kapuskasing
P6A,Sault Ste. Marie East
P6B,Sault Ste. Marie Central
P6C,Sault Ste. Marie North
P7A,Thunder Bay Northeast
P7B,Thunder Bay North Central
P7C,Thunder Bay Central
P7E,Thunder Bay South Central
P7G,Thunder Bay North
P7J,Thunder Bay South
P7K,Thunder Bay West
P8N,Dryden
P8T,Sioux Lookout
P9A,Fort Frances
P9N,Kenora
C0A,Kings and Queens counties
C0B,Prince County
C1A,Charlottetown Southeast Prince Edward Island Provincial Government
C1B,Stratford
C1C,Charlottetown North
C1E,Charlottetown West
C1N,Summerside
G0A,Capitale-Nationale
G0B,Cap-aux-Meules
G0C,Gaspésie-Sud
G0E,Gaspésie-Nord
G0G,Côte-Nord/Anticosti
G0H,Manicouagan
G0J,Gaspésie-Ouest
G0K,Bas-St-Laurent- Est
G0L,Bas-St-Laurent- Ouest
G0M,Région de Beauce
G0N,Chaudière-Sud
G0P,Centre-du- Québec-Est
G0R,Appalaches
G0S,Chaudière-Nord
G0T,Le Fjord
G0V,Saguenay- Lac-St-Jean
G0W,Région de Mistassini
G0X,Mauricie
G0Y,L'Erable
G0Z,Centre-du- Québec-Nord
G1A,Quebec Provincial Government
G1B,Beauport North
G1C,Beauport Central
G1E,Beauport South
G1G,Jean-Talon Southeast
G1H,Charlesbourg South
G1J,Quebec City Lower Riverbank
G1K,Quebec City Mid-Riverbank
G1L,Quebec City Northeast
G1M,Quebec City North Central
G1N,Quebec City South Central
G1P,Quebec City West
G1R,Quebec City East
G1S,Quebec City South
G1T,Quebec City Upper Riverbank
G1V,Sainte-Foy Northeast
G1W,Sainte-Foy Southeast
G1X,Sainte-Foy West
G1Y,Cap-Rouge
G2A,Loretteville North
G2B,Loretteville South
G2C,Quebec City Northwest
G2E,L'Ancienne- Lorette Northeast
G2G,L'Ancienne- Lorette Southwest
G2J,Quebec City Inner North
G2K,Quebec City Outer North
G2L,Charlesbourg North
G2M,Jean-Talon Northeast
G2N,Jean-Talon West
G3A,St-Augustin- De-Desmaures
G3E,Saint-Émile
G3G,Lac-Saint-Charles
G3H,Pont-Rouge
G3J,Val-Bélair North
